Class,tp,fp,fn,p,r,f1
"Works for",389,102,107,79.22606924643584,78.4274193548387,78.82472137791285
"Has part",8,12,203,40.0,3.7914691943127963,6.926406926406926
"Usage",0,2,54,0,0,0
"Award received",3,2,42,60.0,6.666666666666667,12.0
"Characters",0,0,44,0,0,0
"Head of state",0,0,31,0,0,0
"Live in",18,5,80,78.26086956521739,18.367346938775512,29.75206611570248
"Educated at",6,4,65,60.0,8.450704225352112,14.814814814814813
"Military branch",1,2,33,33.333333333333336,2.9411764705882355,5.405405405405405
"Child",24,19,51,55.81395348837209,32.0,40.67796610169491
"Product or material produced",0,0,4,0,0,0
"Date of death",10,7,106,58.8235294117647,8.620689655172415,15.037593984962404
"Evaluate for",0,0,31,0,0,0
"Production company",0,1,23,0,0,0
"Cast member",29,25,71,53.7037037037037,29.0,37.66233766233766
"Place of birth",65,20,278,76.47058823529412,18.950437317784257,30.373831775700932
"Author",3,0,26,100.0,10.344827586206897,18.750000000000004
"Founded by",43,13,63,76.78571428571429,40.56603773584906,53.086419753086425
"Participant",2,1,142,66.66666666666667,1.3888888888888888,2.7210884353741496
"Location",2,3,105,40.0,1.8691588785046729,3.5714285714285716
"Official language",0,0,13,0,0,0
"Director",5,7,28,41.666666666666664,15.151515151515152,22.222222222222225
"Subsidiary",0,0,19,0,0,0
"Related to",0,2,145,0,0,0
"Hyponym of",0,0,42,0,0,0
"Producer",4,1,53,80.0,7.017543859649122,12.90322580645161
"Seperated from",0,0,1,0,0,0
"Country",109,96,574,53.170731707317074,15.95900439238653,24.54954954954955
"Point in time",0,2,22,0,0,0
"Kill",32,10,15,76.19047619047619,68.08510638297872,71.91011235955055
"Applies to jurisdiction",1,0,29,100.0,3.3333333333333335,6.451612903225808
"Conflict",1,1,48,50.0,2.0408163265306123,3.9215686274509807
"Place of death",63,38,117,62.37623762376238,35.0,44.83985765124555
"Type of",13,12,100,52.0,11.504424778761061,18.840579710144926
"Member of",36,6,145,85.71428571428571,19.88950276243094,32.28699551569507
"Subclass of",0,0,14,0,0,0
"League",2,2,32,50.0,5.882352941176471,10.526315789473685
"Screenwriter",1,3,17,25.0,5.555555555555555,9.09090909090909
"Replaced by",0,0,5,0,0,0
"Parent organization",0,0,17,0,0,0
"Work location",0,0,21,0,0,0
"Country of origin",3,4,83,42.857142857142854,3.488372093023256,6.451612903225806
"Father",1,2,25,33.333333333333336,3.8461538461538463,6.896551724137931
"Temporal",18,6,155,75.0,10.404624277456648,18.274111675126903
